ranks nx ny nz num_iter time num_streams
###1, 128, 128, 256, 32, 0.0166904, 32
###1, 128, 128, 256, 64, 0.0301299, 32
###1, 128, 128, 256, 128, 0.0579401, 32
###1, 128, 128, 256, 256, 0.113189, 32
###1, 128, 128, 256, 512, 0.223004, 32
###1, 128, 128, 256, 1024, 0.440009, 32
###1, 128, 128, 512, 32, 0.0302788, 32
###1, 128, 128, 512, 64, 0.0550278, 32
###1, 128, 128, 512, 128, 0.106791, 32
###1, 128, 128, 512, 256, 0.205766, 32
###1, 128, 128, 512, 512, 0.414338, 32
###1, 128, 128, 512, 1024, 0.810298, 32
###1, 128, 128, 1024, 32, 0.0588997, 32
###1, 128, 128, 1024, 64, 0.108215, 32
###1, 128, 128, 1024, 128, 0.20743, 32
###1, 128, 128, 1024, 256, 0.408088, 32
###1, 128, 128, 1024, 512, 0.788158, 32
###1, 128, 128, 1024, 1024, 1.59604, 32
###1, 128, 128, 2048, 32, 0.11492, 32
###1, 128, 128, 2048, 64, 0.215468, 32
###1, 128, 128, 2048, 128, 0.405378, 32
###1, 128, 128, 2048, 256, 0.786985, 32
###1, 128, 128, 2048, 512, 1.54584, 32
###1, 128, 128, 2048, 1024, 3.17461, 32
###1, 128, 128, 4096, 32, 0.222298, 32
###1, 128, 128, 4096, 64, 0.415815, 32
###1, 128, 128, 4096, 128, 0.79168, 32
###1, 128, 128, 4096, 256, 1.56512, 32
###1, 128, 128, 4096, 512, 3.10887, 32
###1, 128, 128, 4096, 1024, 6.20153, 32
###1, 128, 128, 8192, 32, 0.440444, 32
###1, 128, 128, 8192, 64, 0.823509, 32
###1, 128, 128, 8192, 128, 1.58904, 32
###1, 128, 128, 8192, 256, 3.09644, 32
###1, 128, 128, 8192, 512, 6.18374, 32
###1, 128, 128, 8192, 1024, 12.2254, 32
###1, 128, 128, 16384, 32, 0.861326, 32
###1, 128, 128, 16384, 64, 1.61146, 32
###1, 128, 128, 16384, 128, 3.18678, 32
###1, 128, 128, 16384, 256, 6.10713, 32
###1, 128, 128, 16384, 512, 12.1149, 32
###1, 128, 128, 16384, 1024, 24.1258, 32
###1, 128, 128, 32768, 32, 1.45605, 32
###1, 128, 128, 32768, 64, 2.65992, 32
###1, 128, 128, 32768, 128, 5.05184, 32
###1, 128, 128, 32768, 256, 9.95189, 32
###1, 128, 128, 32768, 512, 19.6655, 32
###1, 128, 128, 32768, 1024, 39.009, 32
###1, 128, 128, 65536, 32, 1.6703, 32
###1, 128, 128, 65536, 64, 2.97387, 32
###1, 128, 128, 65536, 128, 5.49498, 32
###1, 128, 128, 65536, 256, 10.7381, 32
###1, 128, 128, 65536, 512, 21.0636, 32
###1, 128, 128, 65536, 1024, 41.2024, 32
###1, 128, 128, 8, 32, 0.00421366, 64
###1, 128, 128, 8, 64, 0.0075794, 64
###1, 128, 128, 8, 128, 0.0144103, 64
###1, 128, 128, 8, 256, 0.0281807, 64
###1, 128, 128, 8, 512, 0.0553842, 64
###1, 128, 128, 8, 1024, 0.110252, 64
###1, 128, 128, 16, 32, 0.00467798, 64
###1, 128, 128, 16, 64, 0.00861264, 64
###1, 128, 128, 16, 128, 0.0165683, 64
###1, 128, 128, 16, 256, 0.0318693, 64
###1, 128, 128, 16, 512, 0.0622814, 64
###1, 128, 128, 16, 1024, 0.125217, 64
###1, 128, 128, 32, 32, 0.005632, 64
###1, 128, 128, 32, 64, 0.0103967, 64
###1, 128, 128, 32, 128, 0.0198616, 64
###1, 128, 128, 32, 256, 0.0393772, 64
###1, 128, 128, 32, 512, 0.0780326, 64
###1, 128, 128, 32, 1024, 0.152525, 64
###1, 128, 128, 64, 32, 0.00768161, 64
###1, 128, 128, 64, 64, 0.0141093, 64
###1, 128, 128, 64, 128, 0.0270931, 64
###1, 128, 128, 64, 256, 0.053376, 64
###1, 128, 128, 64, 512, 0.105688, 64
###1, 128, 128, 64, 1024, 0.207849, 64
###1, 128, 128, 128, 32, 0.0132291, 64
###1, 128, 128, 128, 64, 0.0207238, 64
###1, 128, 128, 128, 128, 0.0394462, 64
###1, 128, 128, 128, 256, 0.0759184, 64
###1, 128, 128, 128, 512, 0.156265, 64
###1, 128, 128, 128, 1024, 0.300281, 64
###1, 128, 128, 256, 32, 0.018245, 64
###1, 128, 128, 256, 64, 0.0335475, 64
###1, 128, 128, 256, 128, 0.0643667, 64
###1, 128, 128, 256, 256, 0.124456, 64
###1, 128, 128, 256, 512, 0.246858, 64
###1, 128, 128, 256, 1024, 0.615325, 64
###1, 128, 128, 512, 32, 0.0319606, 64
###1, 128, 128, 512, 64, 0.0725228, 64
###1, 128, 128, 512, 128, 0.112191, 64
###1, 128, 128, 512, 256, 0.218534, 64
###1, 128, 128, 512, 512, 0.439499, 64
###1, 128, 128, 512, 1024, 0.859389, 64
###1, 128, 128, 1024, 32, 0.0605251, 64
###1, 128, 128, 1024, 64, 0.110091, 64
###1, 128, 128, 1024, 128, 0.209014, 64
###1, 128, 128, 1024, 256, 0.419906, 64
###1, 128, 128, 1024, 512, 0.809031, 64
###1, 128, 128, 1024, 1024, 1.61456, 64
###1, 128, 128, 2048, 32, 0.114554, 64
###1, 128, 128, 2048, 64, 0.211069, 64
###1, 128, 128, 2048, 128, 0.397868, 64
