ranks, nx, ny, nz, num_iter, time, num_streams
###1, 128, 128, 8192, 32, 0.651187, 4
###1, 128, 128, 8192, 32, 0.608352, 8
###1, 128, 128, 8192, 32, 0.568277, 16
###1, 128, 128, 8192, 32, 0.545688, 32
###1, 128, 128, 8192, 32, 0.539665, 64
###1, 128, 128, 8192, 32, 0.542176, 128
###1, 128, 128, 8192, 32, 0.555702, 256
###1, 128, 128, 8192, 64, 1.76534, 1
###1, 128, 128, 8192, 64, 1.61846, 2
###1, 128, 128, 8192, 64, 1.23036, 4
###1, 128, 128, 8192, 64, 1.12351, 8
###1, 128, 128, 8192, 64, 1.06748, 16
###1, 128, 128, 8192, 64, 1.0334, 32
